Business_ID,Monthly_Bank_Inflow,Monthly_Bank_Outflow,GST_Compliance_Score,Ecommerce_Sales,Supplier_Payments,Invoices_Issued,Invoice_Amount,Social_Media_Engagement,Credit_Score,Risk_Category,Country
20,379365,535950,0.8292259173292127,680396,187240,315,533562,8892,425.1110885831688,Medium Risk,Afghanistan
21,1163396,1216887,0.925290864547121,742635,425963,306,742835,20697,550.531211825322,Medium Risk,South Africa
22,837201,940886,0.9336471004799012,107756,343540,36,978761,36505,410.49937841561854,Medium Risk,North Korea
23,1420455,830921,0.8541814883575174,452632,374836,59,236572,32796,586.2853091535602,Medium Risk,India
24,1816891,538153,0.918506664181836,937091,219764,356,141379,43223,833.06648377467,Low Risk,UK
25,377069,1267665,0.8487357308346418,105665,62505,393,591177,16089,354.830178837436,High Risk,Brazil
26,1875573,616165,0.8400703858801502,666005,353040,40,996399,29031,852.4626368315643,Low Risk,USA
27,1297617,1514917,0.8093056891075922,172002,23135,114,236256,9390,434.092714010694,High Risk,India
28,841743,1390642,0.8763583197788206,271691,95887,494,832376,38467,501.5047358158838,High Risk,Germany
29,153355,648362,0.5793025526465369,616123,127118,181,895987,14442,471.6303383334772,Medium Risk,India
30,1334372,717409,0.9404353795994642,132232,494251,366,572422,25041,582.1108084822737,Medium Risk,Mexico
31,1312752,591419,0.935921763872616,957594,314521,318,430539,14045,765.9392485719865,Low Risk,Germany
32,234779,670053,0.5146236415172796,752849,159626,299,519421,10862,476.75862509504935,Medium Risk,Indonesia
33,1446025,890395,0.9129083752823812,455358,329635,340,212834,30233,579.3480062948241,Medium Risk,India
34,1520485,1709748,0.5644349337367226,253051,453837,101,490441,47180,556.8545673280155,Medium Risk,USA
35,1039436,155917,0.667559427129571,167547,250739,373,237579,40250,695.0444151623623,Medium Risk,USA
36,1357371,840717,0.8717541281458039,422104,325427,217,560242,27152,586.2698554356685,Medium Risk,Mexico
37,536232,1378346,0.580379948024154,578020,483356,321,720381,41850,429.91731734950866,High Risk,Mexico
38,967040,728168,0.9089835120595312,746983,284067,141,362103,20053,472.2285802510996,Medium Risk,Afghanistan
39,1598762,511680,0.9160670889788708,318449,314735,10,761287,40575,663.2468790475671,Low Risk,South Africa
40,206730,1001375,0.7537338668804181,711397,67261,113,745226,17230,358.0889310569675,High Risk,Afghanistan
41,1969486,311342,0.5031929358584168,543634,321480,39,735787,31186,633.9421359598069,Low Risk,Zimbabwe
42,1483257,569542,0.6435190665874564,797019,341227,43,277136,4733,551.2957229806226,Low Risk,Afghanistan
43,1248079,1122814,0.8084634591878711,22763,65948,154,536249,17404,483.17407996979006,Medium Risk,Mexico
44,704811,31252,0.9905930890137118,200237,245891,429,546785,42137,584.0935490522668,Medium Risk,Indonesia
45,577035,856196,0.8159067635083341,772841,169074,122,435767,32384,579.3948656288281,Medium Risk,Canada
46,698143,894141,0.6299017905320798,866047,478314,265,790734,46646,638.5779022381743,Medium Risk,UK
47,1550942,1564026,0.8170028515498057,439332,471232,430,983259,7108,541.4074790803687,Medium Risk,Mexico
48,115725,345826,0.7699926898579277,655275,293816,91,809687,48391,601.5508690397527,Medium Risk,Canada
49,1228557,1400214,0.8899226975755719,226823,271357,469,145639,27505,453.71854279856393,Medium Risk,India
50,134654,635605,0.5534903194134793,101353,146365,80,845279,36486,493.2469466842083,High Risk,Canada
51,1003277,357359,0.8805139512510141,231373,498193,475,770177,25473,604.5314659837434,Medium Risk,Brazil
52,641723,1681451,0.7706332893380552,367792,454076,468,713363,20927,381.9974779006643,High Risk,South Africa
53,369030,36949,0.9814960019294974,559844,67507,455,30389,33140,538.4187184127803,Medium Risk,Brazil
54,1427523,793185,0.670936083019343,855474,62134,418,185595,13107,510.7413082449336,Medium Risk,Venezuela
55,605839,347537,0.816310946566974,552387,138172,317,395946,18257,455.7189039547766,Medium Risk,North Korea
56,323538,692301,0.9660140527550088,381233,246225,387,333720,32257,522.9006928589072,High Risk,Germany
57,381236,580222,0.5512548639953396,186168,198069,218,840351,35415,395.1414773863896,Medium Risk,Zimbabwe
58,578178,810722,0.9686142436182256,737346,295316,461,747463,36032,607.319798456275,Medium Risk,UK
59,615894,1533678,0.8439428611504067,678590,287276,289,13358,21264,451.60829473249026,High Risk,Germany
60,539492,1416465,0.5339185295525859,432225,253933,243,360679,14514,320.21349754452336,High Risk,Zimbabwe
61,1355416,506467,0.6504817834734081,212041,285343,169,511110,14427,608.0580792664965,Medium Risk,Brazil
62,523254,386600,0.8540860443226408,43866,41609,91,262557,48444,552.588781688766,Medium Risk,USA
63,399457,1394133,0.5336753007343858,115400,179037,145,217596,1046,383.6889436875806,High Risk,USA
64,715987,1004304,0.7910852300881366,880678,144088,164,788776,14793,606.4583997469856,Medium Risk,Germany
65,1369512,1383038,0.6729415284764784,349119,437995,50,640270,27341,429.66033372187985,Medium Risk,Afghanistan
66,1338507,280875,0.8104577588837385,445071,299025,376,238129,49758,755.1339931897447,Low Risk,Canada
67,1338205,493389,0.5228710169062565,353701,218666,499,802130,30354,631.7148348671749,Low Risk,India
68,1303617,100390,0.935768403076188,147488,291616,116,338953,15640,642.9370401722628,Low Risk,Indonesia
69,748361,737689,0.9867444845886983,606804,498678,411,627367,6819,544.9059680351052,Medium Risk,India
70,1830488,283490,0.9844389276428458,196987,187885,49,65805,41303,677.6737866086232,Low Risk,South Africa
71,1515689,1645952,0.8748259158714624,421274,236440,405,172421,25181,476.50897717004165,Medium Risk,Indonesia
72,118148,1326516,0.565043120065316,443934,262803,251,217849,11450,333.90918904391134,High Risk,Indonesia
73,1875665,395340,0.8791315979645113,304746,172093,108,977752,36458,599.332928696276,Low Risk,Venezuela
74,698531,463027,0.5122934582294008,477874,321275,89,871465,32121,472.2773457594226,Medium Risk,Afghanistan
75,1350571,1586617,0.5110617757644986,481328,160159,454,248483,42932,546.0209257750251,Medium Risk,Germany
76,956606,1396199,0.6618051095747706,199139,17828,489,894671,28469,510.08771094574575,High Risk,Australia
77,728843,1295040,0.7443215952023329,168588,459826,138,402551,31828,483.16677956725994,High Risk,Germany
78,622843,1589312,0.8852037089038967,663583,363808,112,54041,17676,383.9305425837108,High Risk,Indonesia
79,306508,1395843,0.8416476883032527,622257,137473,22,828386,29101,323.6576076377849,High Risk,Zimbabwe
80,853591,680199,0.7229513531883742,666449,483395,98,280146,17948,555.5868728507356,Medium Risk,Indonesia
81,946942,253777,0.636813333140833,964850,282337,154,341927,490,754.9937302785709,Low Risk,Canada
82,156530,889909,0.9985622500788556,215735,228461,250,117524,22099,310.1130162366346,High Risk,Venezuela
83,654365,1084145,0.7130906511179864,675847,443080,293,228306,45536,549.4222164662983,Medium Risk,USA
84,1920928,624124,0.7256935121648378,272299,418523,418,921289,11669,816.6221843262537,Low Risk,Australia
85,510337,658861,0.5818119105958346,133950,369662,213,554026,13129,470.56642193366145,Medium Risk,Mexico
86,1823415,459802,0.8974047743749647,339638,286755,130,807135,22590,820.8935930491897,Low Risk,Canada
87,855889,288090,0.8468411128907443,610517,179863,239,123776,45975,681.7887031839,Medium Risk,USA
88,1558349,1745951,0.6103848063943802,114648,410166,420,190494,35428,524.7017746771346,High Risk,Australia
89,258261,1123578,0.5411905228079213,48547,343384,430,202971,5967,348.03525488945473,High Risk,Indonesia
90,1863045,801954,0.8402496510373565,563083,244719,466,939896,15384,801.9408817833438,Low Risk,Canada
91,1439673,691614,0.8272556071405677,196368,213475,126,841156,34079,705.7899263367174,Medium Risk,UK
92,1413715,709574,0.6366297634991047,555735,269889,142,828731,9221,738.6772370340477,Low Risk,Canada
93,1270405,528870,0.9754317811252052,701958,322387,499,287785,1639,734.9897433699398,Medium Risk,Canada
94,321836,1290367,0.5755289458904501,969318,271010,119,351678,25588,420.9964125078442,High Risk,India
95,1537550,232846,0.716167400521301,756111,168317,424,278449,17127,704.5738239609258,Low Risk,India
96,1039913,1740026,0.9718079600837994,266190,442940,166,763622,8793,489.95251909287447,High Risk,USA
97,252283,696997,0.7098636584630611,216402,395825,205,290926,9021,497.8463344678493,High Risk,Germany
98,246769,1756351,0.8192629738320427,262419,76354,238,350401,10410,319.36751296593576,High Risk,Australia
99,611353,1102647,0.6987971989813971,764105,56374,32,246371,45612,528.7229071342181,Medium Risk,Germany
100,1321741,1661107,0.6371076011743351,884392,119397,15,612251,31008,588.0570250292263,Medium Risk,Australia
101,1722163,1058455,0.9919888239799142,859710,253552,210,656275,4486,646.7762201163887,Low Risk,Brazil
102,1096797,942259,0.7046670031575215,589365,391721,171,685926,32363,654.2514460040519,Medium Risk,Germany
103,1000110,202312,0.9470496018395672,122782,428332,251,134591,28512,679.9710265358203,Medium Risk,USA
104,1634398,1335794,0.6149773029455431,637220,348173,51,602054,17403,578.4028772270831,Medium Risk,Mexico
105,537879,1293455,0.6065523520125417,999410,360718,250,540799,12342,543.102123702653,Medium Risk,Germany
106,614685,1442290,0.5155670414422557,937032,418663,131,649104,47125,534.4311848993501,Medium Risk,USA
107,832038,456650,0.8258334126879425,453316,297575,151,510981,9047,660.031851058914,Medium Risk,Australia
108,1452107,361868,0.6842631718618806,382013,416124,122,783720,46814,788.0716285218097,Low Risk,Australia
109,1361736,1631596,0.9321791249198186,935683,34336,403,953681,6030,530.2131407499922,Medium Risk,Mexico
110,1057293,1724329,0.7366049533457786,320925,308136,386,276909,38270,402.3254223465181,High Risk,Indonesia
111,629879,958818,0.9840967139573608,196339,60350,416,161426,48885,491.0994350691406,High Risk,USA
112,1319460,1495746,0.5927627578515606,485595,74561,156,296073,607,473.2002603486846,Medium Risk,Brazil
113,73247,87108,0.9343115839778052,427168,319099,76,169892,1536,495.30831580576876,Medium Risk,Brazil
114,1122876,1559297,0.8882984263958709,850230,66240,367,121576,27251,463.6489814490956,Medium Risk,Brazil
115,1565857,1189771,0.885460922322026,108696,156165,141,432739,11718,524.4969226092494,Medium Risk,South Africa
116,657086,1115244,0.9223916140584438,513650,404371,179,605376,8850,466.6080612747644,Medium Risk,India
117,583556,315205,0.8805119954714995,60939,51607,293,993667,16222,526.6594515262663,Medium Risk,Mexico
118,1447527,1419972,0.8131101608157076,825948,431703,450,87525,7454,539.6343651375644,Medium Risk,Brazil
119,1372905,1642613,0.5656224388411938,721886,191740,485,23780,44162,556.0721118696637,Medium Risk,Australia
120,1817640,160560,0.516263089745626,151521,419179,23,278733,31079,590.4009244166033,Low Risk,Afghanistan
121,792139,1077172,0.9604239239078434,584578,186196,199,962316,21000,587.2472211970402,Medium Risk,USA
122,482315,1445400,0.808325157260369,923120,320014,334,890096,13940,444.51307177845814,High Risk,South Africa
123,976075,177979,0.8982686454880882,883093,454763,428,973443,37267,692.1003963148174,Low Risk,South Africa
124,566588,1228425,0.7407611757562751,345098,69110,179,454709,5137,468.09447715026886,High Risk,Germany
125,1335160,778589,0.5586540944811973,819178,189626,494,114188,28733,602.0397270731646,Medium Risk,South Africa
126,1660908,81745,0.5625928961012752,602278,157008,453,627614,24595,867.6088494356815,Low Risk,Germany
127,1936222,1449184,0.8427826436144856,593098,384039,417,837385,15948,715.4938587498589,Medium Risk,USA
128,1028732,121865,0.7151529474497313,652650,9426,438,600073,36583,756.8138263018224,Low Risk,Canada
129,1475472,1291466,0.6002623633501684,486513,224911,358,553597,47745,542.5980915869561,Medium Risk,Mexico
130,98984,1102200,0.7457972733707184,156295,294750,145,588483,7937,412.71349854868123,High Risk,USA
131,352918,53321,0.5321044685375671,475453,446048,250,35901,34169,633.872364318273,Medium Risk,UK
132,314712,433704,0.7909857009571994,667957,33151,389,688936,7470,600.0495453497831,Medium Risk,Germany
133,1218727,839006,0.6344967022175488,731037,477519,422,434724,6511,696.3754422886972,Medium Risk,Germany
134,1554384,1252869,0.898779550318594,274803,278452,97,477927,39233,627.1866790959183,Medium Risk,USA
135,183767,957982,0.6551809794617869,96516,245853,436,559752,30599,314.3578408099526,High Risk,Sudan
136,698663,216717,0.7276100745409007,84567,460738,243,987785,30325,576.5448304809211,Medium Risk,Mexico
137,1802126,1058202,0.5058102699540503,811469,259595,209,288404,48317,637.8397067502109,Low Risk,Indonesia
138,186330,1459551,0.5362234438972795,136498,181743,52,659285,792,312.76731052787153,High Risk,Indonesia
139,530754,213868,0.6962467782033424,712098,95306,437,307584,29026,563.9455628664109,Medium Risk,India
140,1400224,689792,0.7399694173585618,474894,230180,249,367226,34346,604.650567277655,Medium Risk,Brazil
141,1787095,125257,0.8000102740596519,546397,374128,324,902015,39264,901.0143977048381,Low Risk,Canada
142,63986,618579,0.6458312893546516,294154,7204,321,590971,8548,484.18415509980287,High Risk,Australia
143,636146,240176,0.8474909430632713,805219,97769,417,396350,43490,587.6709009883697,Medium Risk,Mexico
144,1227888,220471,0.9300611985946023,773760,92265,299,182502,49693,767.9130277839903,Low Risk,Canada
145,62666,944032,0.8899254944466749,149544,298275,132,929491,10173,385.4967886761531,High Risk,Mexico
146,1399380,502930,0.5198094126741786,256183,57428,348,517994,35514,507.8198536090616,Medium Risk,Sudan
147,184633,1597438,0.7402534736289145,688743,38870,286,690465,5309,396.1389707080168,High Risk,Canada
148,338998,1554350,0.5524650892090874,333853,108547,21,612772,6633,388.79753243209774,High Risk,Canada
149,900937,947559,0.6210225079312637,473001,240990,75,784107,21161,606.4864421516296,Medium Risk,USA
150,678776,665605,0.9933312966335732,778613,54067,273,940530,7311,554.6044926264105,Medium Risk,Brazil
151,1806187,1218365,0.5712477714507567,44518,456801,329,864741,10027,678.1886720945478,Medium Risk,Germany
152,1383382,419593,0.749444076725678,63909,243083,286,842359,12027,623.6286514519815,Medium Risk,Brazil
153,1893400,845131,0.8090778671590595,814783,117217,309,216486,24694,669.6579026486534,Low Risk,India
154,1129111,1152262,0.851232485272052,734984,419823,455,985039,9416,658.9394961410989,Medium Risk,USA
155,1046107,97661,0.779824341743457,980834,423184,11,839378,12277,831.2162788099629,Low Risk,USA
156,1474289,598535,0.5048854237095919,525693,103934,318,922935,10946,651.0235509431383,Low Risk,Brazil
157,888688,1323697,0.6632306541219959,549570,147980,309,459777,8033,530.8381257757487,Medium Risk,UK
158,401279,1750684,0.7588558216923558,488082,424639,107,151449,38344,269.4198288515373,High Risk,Venezuela
159,963910,1445833,0.5439332495724167,249017,341851,313,587880,46721,509.56749059144335,High Risk,UK
160,1920230,296765,0.6753134656045904,424994,214329,197,148419,40796,595.1304003939505,Low Risk,Afghanistan
161,1700237,1224682,0.5166015543956832,951768,262354,245,305920,2180,613.9147037221946,Medium Risk,Mexico
162,1746548,1337506,0.5392892485775104,462891,66215,66,931287,6189,676.1311902186665,Medium Risk,UK
163,539570,690482,0.698461638100798,801507,191907,21,590086,26223,611.8484065596314,Medium Risk,USA
164,1555127,834462,0.5663578770215302,479164,316573,175,145370,7897,499.57595696868714,Medium Risk,Zimbabwe
165,1371685,899270,0.783770424130779,713814,349296,29,866636,8446,724.4632351258957,Medium Risk,Australia
166,74538,478874,0.8447324845686328,38365,113048,255,882639,19978,502.20773163057,High Risk,Australia
167,944498,1641502,0.9002933495545414,475982,174530,257,896788,33772,506.45249422712084,High Risk,Canada
168,251664,883499,0.600075122122405,451416,182241,391,458377,17753,350.9032295173411,High Risk,Venezuela
169,541234,1053980,0.5837412911295349,283146,143731,211,857084,49656,365.61886246823815,High Risk,Afghanistan
170,1998260,148033,0.5522839201672001,286091,458830,33,961988,42842,780.3211969980969,Low Risk,Indonesia
171,189182,660265,0.8182151247718183,220294,244977,121,501830,26240,426.41814895993974,High Risk,Brazil
172,1571101,643157,0.8532378632434505,891272,344384,495,926004,1284,819.8478181695016,Low Risk,Germany
173,1256914,1708050,0.515793072412821,126219,431009,420,253767,34593,348.8410300952664,High Risk,North Korea
174,234064,851106,0.9681061231218449,350754,118688,286,555210,44248,346.528691506595,High Risk,Afghanistan
175,264020,1245502,0.5259856418257363,848574,313617,384,437244,24946,483.763902190149,High Risk,Australia
176,1089577,1649135,0.7706481676505352,590595,363906,148,514677,45925,378.799501308658,Medium Risk,Sudan
177,673094,890120,0.8545302597254583,145565,225460,29,423532,22295,374.6360405129791,High Risk,Venezuela
178,947421,461734,0.9354845618730429,789383,495834,314,873428,5706,531.0305335820899,Low Risk,Afghanistan
179,665270,1451796,0.8570434660662138,322229,486546,160,420184,4056,399.48153180945013,High Risk,South Africa
180,1744490,695627,0.900864041534896,568516,374100,77,826698,16655,686.0853869858975,Low Risk,Mexico
181,1217752,251897,0.669725096271403,745036,385596,124,528895,24949,565.0593124495797,Low Risk,Venezuela
182,967710,31062,0.907412556873256,979379,191823,316,236817,18790,561.3400724930834,Low Risk,Zimbabwe
183,1316702,1326312,0.5400574231923376,434871,393455,325,427216,48949,513.3195628865735,Medium Risk,Indonesia
184,268969,1653312,0.947408328030264,577760,214987,97,941515,26447,411.6444997791164,High Risk,Canada
185,172409,125462,0.7737961880768681,845869,452470,90,12866,33289,631.6452084067894,Medium Risk,Australia
186,1646283,1478021,0.9086488849812469,976920,274150,340,122669,38408,567.4856269149822,Medium Risk,Indonesia
187,303618,1528585,0.72615914225915,856143,254243,429,802330,25885,396.13888141530293,High Risk,Mexico
188,819598,800173,0.8217888475982624,147888,79218,368,290539,49156,470.7392254160084,Medium Risk,Brazil
189,1148591,602203,0.7632013304680566,87175,201416,439,704379,32798,654.9416491472211,Medium Risk,UK
190,822838,1345352,0.8657947608776659,598595,432056,122,276150,16066,527.1652531873075,Medium Risk,Australia
191,1220672,1707456,0.5408149910152948,318877,37430,237,699753,31197,433.1764474827833,High Risk,Brazil
192,1729923,688956,0.5301760419952819,924634,28091,203,807388,15982,584.2135392269859,Low Risk,North Korea
193,1283916,1450499,0.6235516170050732,105028,262125,210,453258,4775,379.82271931886726,Medium Risk,Zimbabwe
194,1209263,1477960,0.5797723400565942,519666,431199,417,499415,41950,408.92543383619403,Medium Risk,Venezuela
195,924371,1710963,0.9358917832961008,152312,28989,343,933582,13109,451.6970769590607,High Risk,Australia
196,1509933,561849,0.6096069936790222,501450,80451,151,957135,27943,659.1947955570787,Low Risk,Indonesia
197,785716,497010,0.9879326279095656,102493,23990,454,367820,29893,420.12888064983633,Medium Risk,Venezuela
198,1204454,1685016,0.6684478958855534,135149,357414,429,656012,39616,502.2593461649219,High Risk,Australia
199,1825846,1727900,0.5910589578443497,763704,347504,433,597189,38971,563.6205925578736,Medium Risk,South Africa
200,1023548,416193,0.8948492535712396,212435,255541,275,903659,17957,690.6010138950097,Medium Risk,Germany
201,1296862,56734,0.8293538877504381,173834,303225,391,734857,19727,669.6440061693932,Low Risk,India
202,823290,953875,0.7490978582265695,280403,147105,143,498029,18665,552.5850906900163,Medium Risk,USA
203,1873260,56069,0.7776817754688157,191211,375416,185,651480,26125,874.0787080552417,Low Risk,Canada
204,1263475,567198,0.859600889136132,925207,283385,434,182646,27932,744.3576391052451,Low Risk,Germany
205,1423343,1414199,0.6142273706656494,286993,129932,34,303561,44216,484.0211324076023,Medium Risk,South Africa
206,1049238,500951,0.998166958028371,353912,273083,61,360164,9882,667.5038000176786,Medium Risk,Germany
207,911882,111264,0.9873965810733916,378252,118000,236,355783,38750,502.1852325123498,Medium Risk,Venezuela
208,1978434,53275,0.8251628431734684,886141,183634,150,468222,22466,810.0,Low Risk,Brazil
209,429989,626562,0.5997712254645726,327013,40063,439,104881,28657,446.9969381330167,High Risk,South Africa
210,465515,1553241,0.8401141212156457,923320,498216,388,252934,5898,406.5524296924556,High Risk,Brazil
211,93585,392920,0.5360992044895879,73095,212793,52,966958,9727,531.5783562564428,Medium Risk,UK
212,1469945,221076,0.5153262511029031,127886,163117,198,142659,41283,633.3500449446709,Low Risk,India
213,114044,1272629,0.6288414442556068,867342,442985,228,655976,12566,407.3901925907466,High Risk,Brazil
214,1010061,1032163,0.7313114783696582,489926,314262,140,511323,42714,516.2958599199554,Medium Risk,South Africa
215,492296,1788489,0.9341362527041904,295711,89703,26,649872,12820,319.7409061945013,High Risk,Brazil
216,159556,602735,0.863584534883154,45292,419841,10,720070,42013,360.2501582064073,High Risk,Venezuela
217,1625557,942826,0.8713532605999905,84813,240796,208,882999,37392,491.07916484173654,Medium Risk,North Korea
218,1980267,629991,0.7127466672240377,631424,133557,243,757108,6659,838.838394030638,Low Risk,Germany
219,817595,892522,0.6729674962734815,585919,294220,189,872318,40488,533.4029693831213,Medium Risk,Mexico
220,250235,833692,0.6855193814923013,19885,258317,364,946320,19258,483.06214973136167,High Risk,UK
221,75939,1191157,0.9938247818680288,987163,200877,296,751184,31016,487.81528084491055,High Risk,Germany
222,1251482,1344532,0.5200545957062412,195378,311749,339,825864,22157,576.2938808576197,Medium Risk,USA
223,592335,451240,0.9335157480612244,862746,351709,224,189689,35992,559.6431497387784,Medium Risk,Brazil
224,1386825,1792592,0.7893377042861967,337231,486725,120,344517,41539,375.14694214178127,Medium Risk,Afghanistan
225,125766,932580,0.7193077095947953,432381,306265,317,175289,11806,452.5621878462345,High Risk,Canada
226,458923,974789,0.8626288302075682,986433,463317,53,293028,12170,408.35445939125896,Medium Risk,North Korea
227,1513768,1039940,0.7433344707123515,470244,298577,177,277598,41002,666.0866493639148,Medium Risk,USA
228,618550,146421,0.9367116190408302,892430,48309,86,609248,1024,713.6959533093387,Medium Risk,Australia
229,437261,555893,0.9503509320056291,584100,334612,326,112421,26578,494.51748246948125,Medium Risk,Mexico
230,860208,1542950,0.7108604634367277,715860,442470,337,248245,5606,513.446217360614,High Risk,Canada
231,735440,102303,0.6384138986175258,482367,334437,49,577906,46518,710.4177202524179,Medium Risk,Canada
232,1751240,188211,0.7961751642966811,330787,363402,339,990175,35263,742.6375339786721,Low Risk,Mexico
233,1034346,1024653,0.9561816728083454,54900,436069,24,57111,24704,465.2283927137226,Medium Risk,Indonesia
234,1553165,217210,0.6053310945028333,446162,305549,452,442829,15410,694.3707151662842,Low Risk,Brazil
235,187848,892557,0.8114832917817414,411067,464868,225,226750,8326,409.19530185417216,High Risk,South Africa
236,667075,174990,0.8157801100462603,812720,48527,127,130592,11881,488.1326524301712,Medium Risk,Venezuela
237,177948,1237094,0.8665565112076405,82692,344371,238,244000,5615,271.7938974161784,High Risk,Afghanistan
238,1677880,154040,0.5657838425636299,470796,398708,225,790277,36233,866.00749053172,Low Risk,Canada
239,452690,698406,0.8579124823410442,410584,229490,327,332137,17072,544.0850184066825,Medium Risk,Australia
240,549046,1601714,0.9545162603328206,881868,144883,343,138652,32192,386.7777453888911,High Risk,South Africa
241,501269,448034,0.589841554435121,761496,98344,7,936352,11510,653.1179666606224,Medium Risk,UK
242,71959,786254,0.6187716624619388,56403,160344,186,518069,19622,437.6744414787645,High Risk,Canada
243,1759466,1063255,0.9856975470208198,625458,492151,210,612960,9195,638.8832215448514,Low Risk,South Africa
244,1848792,820756,0.5904884763547449,805600,470226,324,784639,23147,707.9865402873066,Low Risk,India
245,1888756,825543,0.9271925466847896,322023,228564,44,862557,20570,550.5184013099592,Low Risk,North Korea
246,278576,985614,0.7461389282240174,69871,52153,63,227516,43229,359.47595519315587,High Risk,Mexico
247,1065602,570677,0.6236155372015886,492604,113042,443,389653,8631,667.7612019035543,Medium Risk,UK
248,1636409,1725041,0.9353749506362556,501862,59110,66,71602,37138,555.7682699144544,Medium Risk,Germany
249,964091,1382147,0.7226526275013327,42174,150051,136,213117,22503,333.2665353883012,High Risk,Zimbabwe
250,215838,1027083,0.7574086769648452,765111,246131,64,247069,42774,348.5531786900591,High Risk,North Korea
251,1434250,1762682,0.6796166846998828,233563,244173,376,576510,29222,375.93010487048406,Medium Risk,Zimbabwe
252,1978565,1201459,0.7964754257174638,147653,33328,335,845655,17040,497.15316569978364,Medium Risk,Sudan
253,111087,792501,0.5817619362925114,120155,117911,126,251084,29931,433.3638166118978,High Risk,Canada
254,1063343,417952,0.6955407683258803,343997,280011,483,252318,11379,677.7080857227766,Medium Risk,Australia
255,1691704,142221,0.9847061611676438,860478,64234,111,599621,38320,757.1766544954136,Low Risk,Brazil
256,168451,1060117,0.6290667163505638,321822,292995,100,718092,6577,389.7454509752407,High Risk,Brazil
257,1546176,829666,0.8283683322706461,511608,298423,351,394794,17500,613.0387191339235,Medium Risk,South Africa
258,1936013,290669,0.6625950321123475,823081,253503,418,59420,6570,750.8486025500177,Low Risk,India
259,489792,789224,0.8867365628433004,137795,232135,239,609792,2162,372.00457897864953,High Risk,Venezuela
260,89353,869873,0.5654368303591749,98668,78402,390,536750,41898,429.3817562893442,High Risk,UK
261,243075,555134,0.9849105225392724,747685,282593,66,281604,19980,487.58747936515744,Medium Risk,South Africa
262,1312859,1613818,0.7268947706918196,679927,343365,260,633607,34681,586.2399634050508,Medium Risk,Australia
263,1413453,1419959,0.618025231673232,483620,356224,53,790962,44539,532.332294160169,Medium Risk,India
264,115318,274761,0.5367483736650063,886338,10451,397,674635,14408,439.3069480027993,Medium Risk,Sudan
265,815313,862946,0.5848789525437703,773429,92178,352,678629,26127,625.5994975483086,Medium Risk,Germany
266,1581266,904668,0.7598869742780088,630307,439532,163,663881,30820,530.7863248181532,Low Risk,Sudan
267,466880,167541,0.6685015882156431,989448,461280,128,132672,35181,495.78163078515195,Medium Risk,Zimbabwe
268,641460,977609,0.9144416829413048,874434,330905,486,469158,9806,591.8483163934178,Medium Risk,Germany
269,790976,94323,0.715443761830903,563091,241562,321,345064,9937,711.5685265711753,Medium Risk,USA
270,831239,646210,0.624357136293815,683590,306014,211,523953,38699,562.4865749670764,Medium Risk,Brazil
271,1191840,1267715,0.8085724933020151,683222,363710,52,818985,36924,452.0686998409625,Medium Risk,Afghanistan
272,820746,1259024,0.8533886084427229,446571,390893,413,427582,33173,531.5219083377137,Medium Risk,UK
273,863168,1779523,0.5835209539504749,958763,128765,424,54036,47215,340.2677584178455,High Risk,Afghanistan
